"Country","Con19","c11BornEngland","c11Deprived1","c11QualLevel4","c11LongTermUnemployed","c11Christian","c11Muslim","c11Jewish","c11EthnicityWhite","c11EthnicityBlack","c11EthnicityAsian","c11HouseOwned","c11HouseSocialLA","c11HouseholdMarried","c11CarsTwo"
"Wales",20.6278877258301,8.27877156638894,29.6790227169309,16.6161643986557,1.79254203839987,56.8233710855397,0.568551252778492,0.0287299835180621,97.5866813844828,0.296372461554746,1.25051033523354,66.8346809478806,13.4516433896881,32.6367741258007,22.2058875004375
"Wales",46.0913238525391,36.8270849951254,34.2585281111813,27.1321432343932,1.59978240981134,64.4562616325445,0.40769298945316,0.0620402375254808,97.8374545776832,0.171940086856333,0.879198794646814,69.7449463044852,4.59570435881238,29.650979153506,24.9447252053064
"Scotland",20.1400585174561,7.77389768599354,33.1896645080245,28.9610328858119,1.34520076868615,38.3065406305818,2.3130029903466,0.0862985931322375,90.1900575992936,3.18000280972164,5.13978365143396,45.4852613112127,29.9322085291633,23.7595027181564,14.5502588204717
"Scotland",35.9305839538574,9.030333594429,30.473800804738,40.2956209421191,0.88904841448431,42.7352811785787,1.73396139360709,0.0675987424487913,92.5759412856637,2.2908462718757,3.83917937272659,62.5299516252995,13.3211266332113,29.0587277905873,21.5629097156291
"Scotland",42.6506690979004,13.987569512594,31.3041839427064,33.2896390491763,0.691550669385584,48.933595027805,0.347835568640279,0.0338022025951368,98.0154835895758,0.402355250245339,1.08276087667648,75.3028916051909,8.16057293629853,46.3276075601745,38.0674169403909
"Scotland",17.6279792785645,2.65129011590658,32.2873273404955,15.4853676459993,2.60199865924575,70.1461937212418,0.712912807967849,0.00931912167278234,98.439047119809,0.166579299900984,1.15207641679772,60.1622451216838,28.4477088357816,33.8248191186143,22.1552291164218
"England",58.3743629455566,79.5077077038548,32.8374175892524,24.9924746848398,1.37343059640576,58.141683185466,1.38180558495795,0.0692827312792287,85.5333808048344,1.92933161409519,9.77367641115452,65.4260480159224,1.97039432765269,38.8928971265083,32.0388107973629
"England",70.7894897460938,94.7449788240185,33.0623642569035,20.5290905073081,2.00150651027655,70.1743445838855,0.722321822953205,0.0363759191415283,93.1288487021592,0.970457557097202,4.0364278847403,75.594166925225,6.64287930499535,36.3636363636364,29.9317406143345
"England",48.0452117919922,87.0163886904577,29.0192543629034,40.345623314665,1.1794708320051,65.2690209232744,3.13486763777163,2.29317431230653,90.4338913563376,0.976281434088062,5.58954768042571,74.0804727208994,2.916948346228,38.9143443751721,33.9943413705901
"Wales",41.9875373840332,51.3447669838192,32.3327715464637,21.2639717119655,1.4713376843282,65.5705714805163,0.358766135385734,0.0436337191685352,98.2170777528635,0.0957517726198412,0.964790012726501,72.5925495437903,10.9519381647004,36.8512814552217,30.7345847620155
